Jan-19,Feb-19,Mar-19,Apr-19,May-19,Sep-19,Oct-19
5332ba6babf7437e6eab5e2c9f10b14a7c6440eee282f3312033d17ccc87ee6d,5e4919bca2feb6438f35e4fa90769e1e1d35f51a1255b37463730ceb12b289f0,09bb76e2b4507b37c0442281d86acddad20be8ef7f179a36de7ae6c63172d02c,3235f0965322893f274654c9e751f89d9f6cb7e45faa7348ba59191464a37b96,0fa9d4896df9e87c4eb4b76eb95672d804783705810fd229e114859bb7dcc370,6d7bde30d3fa54e0d14933961e0a8adedd34010200d8d081de23d8623dee3814,71863485e81f279d8a33c2ca601a00bad2e939cb8e17355c9ebe36a3678f8b33
356d8516b61a00f2a1ea4669e5cbb4c333a284f138267a446a0b0e602a0a5109,a27260a1fe5c659000bca59b786be94ae93ee51494d4d455fef197b6857c8de1,2579f29666e0c2740a2bd142644b9bd94d64c25aed204f7222838d8d7bbf366f,9d15587e8a3ab1c7a020cd6d92369b707bf42788ef87c3fcf37ec6c3db6d0994,52aad4bfb55e81033f2b2e0717328fc6f3b14a8fc06fac721fe4846c1641bea3,444d296659bea1ca6c115b455a27adae6537958f9f8e30e63d3b1a8a720c5cb7,ac5d589c2815b0560809d038fee429aba3d3b9577f88008b7f11b098c991d8ef
6df473bd7f09e7719e7b65b714b9dd346777266fe7297ccfb60e3075df21a399,1555a04d43594dd9cf28bec5f144c325a1bcdd2d5a30be70dbc4ff495dfd2f2c,6c5766050c69e210773d3fb9d7115836854decab47bd4952dfad51b7236e87bb,09e0b1165119d6841bb67c3389adeba85a79f1c44976248f80c4b47f30bdacd2,e0743e395630cc035a7dfc418016cfc3a1006ae5cc55beae1e900b4f6b3e3899,4d8acd99b8e8b1e40b64b35dcee753a3f9073847ec1e8957e793dab849140c29,49784a37de8cf2398dd0e90f2a6cb85aecd9d725d44fcee92d254a02ea2859e1
9c04ad1bfd2bc3411cdc96fd28ae9af16b985686a928455caabc0ce74b94c924,f7f033a02973adb35956d62ca63ed2f721f8fe9881625752535792d6f3598f2d,ff996384383ff0991b46c52cbb2e501d781d1c97a4d488b45e122916fbf1701d,1983de781d21e65bee939d558f1ecaf5a8fa39fe645a4094bf5afa9d66426635,fc380ed01f80f2af4815b19b82390537bcd20ab28430d1ffd9e3d7242815a700,c8ebff67f7ac86c82c591732e2becade9e8a4d3fd74387205ec429599e1e9226,4f62184074f2f62c718f5905743e511839dd41ba62aa40650838f1b8b9f94c0a
b998a79fe8fde1f80df5ed3fa8b1a4b089bf4d33fdee4f974612259ad8bf1a73,0ad82020d842a8ecab482d1671cffa0ce55f221da9f3c1cb380b3e88db50cc5e,121603d6126bf1fe9420b8598fd085793843929ac14966a86b333c5af71c266a,41f3f7cbbcd17c4eee28616e14e8b906d0f737a1a915b0deca18742cc03f2ea3,c67b5c47df7b5d0346a97a59471c44bb6e71b3b688e19114ce2cce04b2375f9b,46b4a99ba27ae79f516b9f77a5d526adc43934af3005d8b48d74040146bcb164,b48704fe8b054beb0191bc2d7fcca10ac463af8fc2d9cb232026ec4c4aac92e6
c83e2477a2c5ce14657f6161bd92b6ac7af220289a11e8d0fdbe707f4746f383,2085951bebaad4c9da34c479e8cf0823e4e52eb1eae31130b216c6fd47b841c6,3489be2aa6818f369b27151d4a4400616359ccd61455a7a2f700fec6ee977050,587b6c9375e5a273683b7a37fa918e725c1e1131171cf892655d1b91aa2f03b9,fa4963b59046a924250a2c0d7599ae98fec4d4d0ba1cdf8de575a7438c570563,ca8039f1b49450c76159336d4e4b87b8c432c5cd43ea574a1c4f54f9d479d1aa,0ceb1ab2bc03b840c03b5fcaba8397ee8d0f3877b73fff22e7bc50ab5c596821
3c090e7cc9507d048af4843af612fac9ef80a8b6f98e52f2fc1aa343788d41a2,9968bb0d612ba3abbba152d8d84cd8da508f98ae7517fef52969b91915ced184,575ef83ef856d6c2002da1ca7ea3562da367f4bad60fd63526761b138058ce0c,7d325a2ed42e676a24c83bdcef1801b6aa8e3cf429da3a092ff0f678dda0f4ef,fd0666be8043c1d58b39868e5236856bd32f80fdeb994081e9a1c59974fe101b,488cab56eebaa6eef44b55835e6487d27574d2bf0ddb9006c5bf5d534e451e50,3251a00155619dd1ba363b7fe477dab326fe791d2135129d3133c0cb716dd58b
39f7b6d423a1281ae081a613be75fcb2844faa3cf80aac59617554d72f216320,c728db654250cd1c32cfcc2c98111abcc1eccb17d395c333dd8774b38ef8972e,f71bf778b203da9f9058e970900decaba983add0bd492f9c249dc146394e542d,8fe3444246f760cfce95e9c68edc1f2927bf6719abb76f033bf7fccae101c281,2ade167cc02b318750feb789c0476581e4f2e0864c3a51fd65bd74c25534a74e,ac562e7935b52ecb175701ee4e5685674fb9ba73d25111c74bd22e896bda23c1,4a98c1b48e25ed7a590d7fc89d65e07e40896e90c7977658c3bfcd8da7392181
7b427a5d7cb28116f84cc2f5b850426275ad5a302f690dcf0b9eb74fd1700291,1a7211b1d27124d3409b2d1346ba93fc2a91fd00ed3899c95c1e16fc849c54a7,39e2ac32f44080907ef31f67bf8743e134308adacd53a5192c963f2647103651,c8fdf7ce4ed363ae984e339072a78a041222bc31b5fab2ea33836746fac23591,57f935a706180e4e617c73331cd0a57f8ae1fcaf0537e0fd11294aa0e20e0feb,8c5854b76eafadf5ae781c5f2cc6d14ac4289239ef5a97e72cf191a198b2a4f6,b77f540a0cf278192870bab7fa677c0e858269ce1321814573934a6d095d89e4
4280bf2624544e303275ec94ec300eff710ef1ce58f95fe8ee702b63cfe3a331,005b899fabb917a2f805fb12433a77ec0c523d9ec7aeda8ba60f5209bb30ae1d,8940048820f6964f24d0a91beaa2c1c5941a165367eb206950897a2f34a18d78,01359a5f03e42a0ecb2f238893ff93047f39ee597004361ce1cf6af7ef0b8043,6acdb5b39fdd7d5976ee9480efb4121c18ad2eac2c99672e44f9b1ce729d0a5e,d36ae7bf558a278579b47f00048f4995e377a022b74ad633981da7ad65f7c976,020d304a630900854cea9666409dd76f51a35b3d3d60c9ba0c512d59e6b25093
