Type,Indicator,Name
URL,hxxp://www[.]pomegranates[.]org/index[.]php?c=,
URL,hxxp://www[.]ridefox[.]com/content[.]php?c=,
URL,hxxp://www[.]shapingtomorrowsworld[.]org/category[.]php?c=,
URL,hxxp://www[.]vanessajackson[.]co[.]uk/work[.]php?c=,
URL,hxxp://www[.]yaran[.]co//wp-content/plugins/so-masonry/logs[.]php?c=,
URL,hxxp://www[.]yaran[.]co/wp-includes/widgets/logs[.]php?c=,
URL,hxxp://www[.]ztm[.]waw[.]pl/pop[.]php?c=,
URL,hxxps://coa[.]inducks[.]org/publication[.]php?c=,
URL,hxxps://mhtevents[.]com/account[.]php?c=,
URL,hxxps://skepticalscience[.]com/graphics[.]php?c=,
URL,hxxps://wallpapercase[.]com/wp-content/themes/twentyfifteen/logs[.]php?c=,
URL,hxxps://wallpapercase[.]com/wp-includes/customize/logs[.]php?c=,
URL,hxxps://www[.]spearhead-training[.]com//html/power[.]php?c=,
URL,hxxps://www[.]spearhead-training[.]com/work[.]php?c=,
URL,hxxp://78[.]129[.]139[.]148,
URL,hxxp://31[.]171[.]154[.]67,
URL,hxxp://79[.]106[.]224[.]203,
URL,hxxp://185[.]34[.]16[.]82,
URL,hxxp://104[.]237[.]233[.]17,
URL,hxxp://46[.]99[.]148[.]96,
URL,hxxp://134[.]19[.]215[.]3:443,
URL,hxxp://gladiyator[.]tk,
URL,hxxp://51[.]77[.]97[.]65,
URL,hxxp://185[.]14[.]248[.]26,
URL,hxxp://185[.]162[.]235[.]182,
URL,hxxp://185[.]117[.]75[.]116/tmp[.]php,
URL,hxxp://38[.]132[.]99[.]167/crf[.]txt,
URL,hxxp://185[.]244[.]149[.]218/JpeGDownload/*[.]jpeg,
URL,hxxp://185[.]185[.]25[.]175/ref45[.]php,
URL,hxxp://185[.]185[.]25[.]175/sDownloads/*[.]jpeg,
URL,hxxp://82[.]102[.]8[.]101/bcerrxy[.]php,
URL,amazo0n[.]serveftp[.]com/Data,
URL,zstoreshoping[.]ddns[.]net/Data/,
URL,hxxp://zstoreshoping[.]ddns[.]net/users[.]php?tname=,
URL,shopcloths[.]ddns[.]net,
URL,getgooogle[.]hopto[.]org,
URL,googleads[.]hopto[.]org,
URL,hxxp://www[.]shareliverpoolfc[.]co[.]uk/js/main.php,
URL,hxxp://valis-ti[.]cl/assets/main[.]php,
URL,hxxp://www[.]latvia-usa[.]org/wp-includes/customize/main.php,
URL,hxxp://www[.]shareliverpoolfc[.]co[.]uk/js/main[.]php,
URL,hxxp://www[.]latvia-usa[.]org/wp-includes/customize/main[.]php,
URL,hxxp://googleads[.]hopto[.]org/data/ce28e899a8d3d00a.]dat,
URL,hxxp://ciscoupdate2019[.]gotdns[.]ch/users[.]php?,
URL,hxxps://www[.]jsonstore[.]io/4de4d6d84d17638b3cd0eaf18857784aff27501be7d3dd89fad2b7ac2134f52e,
URL,hxxps://www[.]jsonstore[.]io/ddf35a64bd5ad54f9de868a84cdb21299a33d126e307ec3a868f65372402816a,
URL,hxxps://104[.]237[.]233[.]38:8080/YIZDGrM_4mRn_mb8PdhL_QfL2h49-aAO0wfaxRxJAdq9pH2JeliMez10IwMk6PCnluziydTlV-/,
URL,hxxps://104[.]237[.]255[.]212:443/GfaBcrPI14rArcGvmQT2g3sW3ZtmqL6IU0Vg5oy21aOK4gvmvYx_TCP_whhSnyQH7/,
URL,hxxps://104[.]237[.]233[.]38:1022/aeacrE65xE9SdVN3CJwS9gbtNM84GL_ajl_AD2EoEOHrmbpQ5qC9J7GcSSZQ0JNBDnOulnMWgNy3FV2kcHRuM0u5NMo5Jv9Ks4zS5-pLkiYs4me/,
URL,hxxps://104[.]237[.]233[.]38:8080/nud2WCL9WzTiAOMCuFMboA18GWsmrc8k6VqGrXXfqVghYktellhTS7_tg-D64spqdv4sOJ/,
URL,hxxps://88[.]99[.]17[.]148:443/3gg7DuFHLwC8gPwW3z9rgnS1Is8F83B-95PHYnVpk9219KbHn-IChwxSFR35a117i2Jz_OX9mUPAYRJw3NhMBxUVDp4iMOkzt/,
URL,hxxps://104[.]237[.]233[.]40:8443/zi5w0iDM6aLEgcWDnumYywaHa33BIPzaylNUPUECcNCmfNNcxzv05flJoB3wvWqH6Uf01vI-1yKF96/,
URL,hxxps://78[.]129[.]139[.]134:8864/lZkP68TtH_BpZGhmMwxNPwy0vjimgwDRfk01pV2Xu2FztbaevB6RzBUPRietWtBcuxru7tTsF3rZGFPbepd294BP2MGd/,
