Type,Indicator,Name
SHA256,d5b7a5ae4156676b37543a3183df497367429ae2d01ef33ebc357c4bdd9864c3,
SHA256,d77d16c310cce09b872c91ca223b106f4b56572242ff5c4e756572070fac210f,
SHA256,98f0f2c42f703bfbb96de87367866c3cced76d5a8812c4cbc18a2be3da382c95,
SHA256,200c3d027b2d348b0633f8debbbab9f3efc465617727df9e3fdfa6ceac7d191b,
SHA256,951585840a07a6496b0270f1028281fcb65d5b9e9a6ed613ca8809b258ed729f,
SHA256,1dae45ea1f644c0a8e10c962d75fca1cedcfd39a88acef63869b7a5990c1c60b,
SHA256,10157ab25bab7891068538111333a2101b987e930d5deb7bb60ed63cf7ca197d,
SHA256,0a9d295016417b00457d4a031b5c52eea41bcde3465ac517767d8795a6a213eb,
SHA256,20bf83bf516b12d991d38fdc014add8ad5db03907a55303f02d913db261393a9,
SHA256,c5ca4599d21a89444034676b26d13fe0cd0bf0aeffa01b07d5883fa966adaf35,
SHA256,36ccae4dffc70249c79cd3156de1cd238af8f7a3e47dc90a1c33476cf97a77b0,
SHA256,3030d80cfe1ee6986657a2d9b76b626ea05e2c289dee05bd7b9553b10d14e4a1,Decoded PowerStats payload
SHA256,8b96804d861ea690fcb61224ec27b84476cf3117222cca05e6eba955d9395deb,Lazagne
SHA256,99077dcb37395603db0f99823a190f50313dc4e9819462c7da29c4bc983f42fd,Lazagne Runner Script
SHA256,d2a0eec18d755d456a34865ff2ffc14e3969ea77f7235ef5dfc3928972d7960f,Loader script from 144.76.109[.]88
SHA256,1421a5cd0566f4a69e7ca9cdefa380507144d7ed59cd22e53bfd25263c201a6f,MuddyWater Macro
SHA256,4e3c7defd6f3061b0303e687a4b5b3cc2a4ae84cdc48706c65a7b1e53402efc0,MuddyWater Macro
SHA256,1b60b7f9b0faf25288f1057b154413921a6cb373dcee43e831b9263c5b3077ce,MuddyWater Macro
SHA256,2c8d18f03b6624fa38cae0141b91932ba9dc1221ec5cf7f841a2f7e31685e6a1,MuddyWater Macro
SHA256,367021beedb3ad415c69c9a0e657dc3ed82b1b24a41a71537d889f5e2b7ca433,MuddyWater Macro
SHA256,58282917a024ac252966650361ac4cbbbed48a0df7cab7b9a6329d4a04551c0d,MuddyWater Macro
SHA256,58898648a68f0639c06bedc8242ca48bc6ec56f11ed40d00aa5fdda4e5553482,MuddyWater Macro
SHA256,81523e0199ae1dc9e87d2b952642785bfbda6326f22e4c0794a19afdf001a9a3,MuddyWater Macro
SHA256,90b66b3fef77962fbfda364a4f8799bfcc9ab73772026d7a8922a7cf5556a024,MuddyWater Macro
SHA256,96101de2386e35bc5e38d32524a02c6c5ca7cc6624e656a629b2e0f1693a76fd,MuddyWater Macro
SHA256,964aaf5d9b1c749df0a2df1f1b4193e5a643893f251e2d74b47663f895da9b13,MuddyWater Macro
SHA256,97f9a83bc6bb1b3f5cb7ac9401f95265597bff796bb4901631d6fa2c79a48bdc,MuddyWater Macro
SHA256,a3c1fd46177a078c4b95c744a24103df7d0a58cee1a3be92bc4cdd7dec1b1aa5,MuddyWater Macro
SHA256,fcfbdffbcad731e0a5aad349215c87ed919865d66c287a6723fd8e2f896c5834,MuddyWater Macro
SHA256,2bb1637c80f0a7df7260a8583beb033f4afbdd5c321ff5642bc8e1868194e009,MuddyWater Macro
SHA256,58aec38e98aba66f9f01ca53442d160a2da7b137efbc940672982a4d8415a186,MuddyWater Macro
SHA256,605fefc7829cfa41710e0b844084eab1f180fe513adc1d8f0f82501a154db0f4,MuddyWater Macro
SHA256,e8a832b04dbdc413b71076754c3a0bf07cb7b9b61927248c482ddca32e1dab89,MuddyWater Macro
SHA256,5d049bd7f478ea5d978b3c78f7f0afdf294a94f526fc20ffd6e33022d40d15ae,MuddyWater Macro
SHA256,12a7898fe5c75e0b57519f1e7019b5d09f5c5cbe49c48ab91daf6fcc09ee8a30,MuddyWater Macro
SHA256,2602e817a67949860733b3548b37792616d52ffd305405ccab0409bcfedc5d63,MuddyWater Macro
SHA256,42a4d9527063f73004b049a093a34a4fc3b6ea9505cb9b50b895486cb2dca94b,MuddyWater Macro
SHA256,5ed5fc6c6918ff6fa4eab7742c03d59155ca87e0fe12bac339f18928e2924a96,MuddyWater Macro
SHA256,a2ad6bfc47c4f69a2170cc1a9fd620a68b1ebb474b7bdf601066e780e592222f,MuddyWater Macro
SHA256,c23ece07fc5432ca200f3de3e4c4b68430c6a22199d7fab11916a8c404fb63dc,MuddyWater Macro
SHA256,cb96cd26f36a3b1aacabfc79bbb5c1e0c9850b1c75c30aa498ad2d4131b02b98,MuddyWater Macro
SHA256,ed2f9c9d5554d5248a7ad9ad1017af5f1bbadbd2275689a8b019a04c516eeec2,MuddyWater Macro
