APPENDIX C - BAZARCALL: 96 EXAMPLES OF SPREADSHEETS DOWNLOADED FROM FAKE WEBSITE UNSUBSCRIBE PAGES IN MARCH AND APRIL 2021:

(READ: SHA256 HASH  FILE NAME)
9b04a00b4d03c84705efdee3a1d6290894de48ead187eb5c7a43b46eb51e531c  subscription_1616715716.xlsb
9cc79e32ca74fea9e6a9ed7ab09abfa33d0fb2c3ef8752baed056de05f4b2de6  subscription_1616610343.xlsb
9d6581dbec6c8f74f2d999b5b72a8d8f515bd71c1d0966754374b8a16d3c4bd7  subscription_1616443310.xlsb
a05ec823e486a21a5cea8811115ae750c9796f918228566463ed9a9f712238c7  subscription_1616605333.xlsb
a144bdfb007c72eaab61f424725107366747afc2252675e2a8992401f581f2b5  subscription_1616606058.xlsb
a14e4ee9f2967d2189e7b725cbb7156a5132f55e96ce6497ac0a582d3a696510  subscription_1616603363.xlsb
a839e6e8570d4e836ef03ced53d77217cbd3f08558582733da8f60b0a0e6fa83  subscription_1616454774.xlsb
aae2cf00546070edda9898e8439236bb06001d46d2649d8a859a5952bb5229dd  subscription_1618432981.xlsb
b17773d67198e8ca31b2029789fdbf034dbe7d65e3425dae9c02638fd1da33ee  subscription_1616603981.xlsb
b4631d97013e59555487c6c4c93798dd044e8268858eb031f6c324039cdff962  subscription_1616170439.xlsb
b4b5161dbce88e4f35a58921fa4e81b9231e2ab92d6e80091bfd9ef4574ef822  subscription_1616168672.xlsb
b4d956e037fd49630847b92997906c14d76513ae2f00ffe8ba40d9fd5dae98ad  subscription_1616453918.xlsb
bb9387320d69ddd3e4cd4586ae85ffd672d241d112e0199eeda0e59634aea4b0  subscription_1616605592.xlsb
bc604d1564b8b0360eb316b6d330d069dd887875db3d1c0cc1e6e8b6d044fa84  subscription_1616602783.xlsb
bcfd5b1ab6019b320a299ec62374df157162116b7ab76d2dd852075b2df36d06  subscription_1616166806.xlsb
bd24cfc76889b7ec1331547e30f047f3f9b39047bc749e99674262dee07bc8b2  subscription_1616170503.xlsb
be0466432cbd09f14c01975d9cbf24ce3539fd245918bd1b567d3cdda8f76324  subscription_1616605409.xlsb
c1d2ac7f3abee76af28e858f9d9b5c26bd121bc298280f44cb06e00951cb28d7  subscription_1616609600.xlsb
c242a240f6836d70944d4810c9fbc4b2ee7221c5938f483d1ab8579955a4c78f  subscription_1616184747.xlsb
c76bb9443baff9e799b3b1cd7c4bd18759ff17acf50f2c3e6f9970caf3015a8f  subscription_1617817060.xlsb
c8d4265b3762f38162e9b93563bccf603081de769b9c5c38d41b65872d0c944c  subscription_1616604696.xlsb
cd0332bed798951f6e1635b6169e07c41138323490e52fa9f674b6a113156a34  subscription_1616183602.xlsb
ce8fa7b1fbc88467678f3d2877c5580a5bf310cc489536a3aaef3f9b8d1db992  subscription_1616600918.xlsb
d021f3c83a2fb22da832e301962d63c695194907ab415d0b978858699e22952a  subscription_1616433864.xlsb
d4723b2d858287cb8c01f64a00970f089be96ad886e83a1da38e84325fc9b886  subscription_1616170369.xlsb
d49953673284c656971ba15caf8a1cc07902ae972836bd282a20aca916d15e45  subscription_1616602048.xlsb
d8bcb2ec7da1dd5ea941807b790aa7dfdab9291e1cdc80fee3dc1d6e3b6981e2  subscription_1616183088.xlsb
d92bf3350a4b310ab6b7d295a0d1727155ec6d669b2da021c91aa9b565593a7b  subscription_1616167381.xlsb
d969d06464b2c8eab75bf45e650020cc88add0bc947643dd24d69bbf34481906  subscription_1616608296.xlsb
db53f42e13d2685bd34dbc5c79fad637c9344e72e210ca05504420874e98c2a6  subscription_1618420095.xlsb
df38d84cefcaf27b357bf0c678ab22531d5e2886658f5482e9ace04a315828e6  subscription_1616602271.xlsb
e335e27175c66affc5c2b571878757b35642699b70250c4221800e47356d4b59  subscription_1616169941.xlsb
e4782e0fcb58e3643a293e9792be9d33b2147c96824c110105a198602c587d47  subscription_1616607492.xlsb
e8c6014607b1160a2efa1ebc35f71e73e7e08c1e027d8128d985729b61c3d203  subscription_1616601659.xlsb
ecf5a6e4dfd2bc3a9a659699ee03e6c5ebcbd3252664245761f1594044f0c5fa  subscription_1616434023.xlsb
f2853ce6b6515446daf068272aba80c2c059f2c20e197f32060b9baf6bbd17a2  subscription_1616607667.xlsb
f3badf0a258410c281afe6ac253cbd48b1b4be6a656db60813131a3025cd8d11  subscription_1616168606.xlsb
f6391f0bb648e3821d88179b2f76426197961c739b7ad88329a91d5a1328cc61  subscription_1616599413.xlsb
f8662af41f8a99a17220a0181c3d4c5fd82ca6b522c5da4856f03accf3838a72  subscription_1616607407.xlsb
fc3d3e2e605e76289cecb3612bd000471e613bf8841cc4e9c6b9f47b527a3d6a  subscription_1616180035.xlsb
fd93b2dd5067d6933d9d06878c75b53bdba8756f092c4ccb1e9ce881bb1ec85c  subscription_1616167984.xlsb
fee876283fdd75a8ea08d19c15e9c78755a8cc3135d157609097d2b249e0e7fc  subscription_1616182346.xlsb
