First Seen,SHA256,Domain/IP,Port,Backup DNS,File Name,Startup Name,Folder Name,Data Directory Name,Backup Startup Exe,Mutex,Build ID,Enable Client Installation/Startup,Client Persistence Module: Protect Luminosity's Client Binary,Silent Mode (Hide Luminosity Window on Client PC),Proactive Anti-Malware: Clean Malicious Files and Speed up Client PC,Power Saver: Prevent Sleep Mode and Turn off Monitor after 15 minutes of inactivity,Remove File after Execution (Melt),Anti-Virtual Machines/Debugging,Hide File and Directories,Backup Startup
2015-09-05,2e584be9fdb330dfaf1c430c707e28a531a7d1435537d7dc434d17c3a5f317f1,novato.ddns.net,6318,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,7433cdb324b04dd5e3c3db213381216c7c539baa,LoaderVIP,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-15,2e8352785cf14377e3e71992fd4a7e9d6bc6ced3e129f587052d1958646f5e89,apatech.duckdns.org,4040,Disabled,client.exe,Client,N/A,N/A,N/A,da8c7d8a8e601f22b2996c26ca4b707416556c17,DECEMBER,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-09-02,2e47b2a180a0f2c8079cd33a8f16b13be37fd2866a25b2e7d25c9f9a19ee7023,dendy39.duckdns.org,22028,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,acb7b9bf191ebf6fc9bf4612dc39a218849dbbb8,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-03-27,2e4cdd50a3a4adb9aa880523976a8b5d013a159872ea1e9b1ce88341ea8529d9,kraft.myeffect.net,444,craf.from-ne.com,repair.exe,Mechanic,N/A,N/A,N/A,a3a3a51e9eff526a97441b1d11ad1a1e871e8f7e,Kaspersky,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-01-29,2e8e2d1d70671e69d19c07cd9e1c33fd89b545eab5a594c6318245542c8fdb1a,h4fkass.no-ip.biz,6318,Disabled,windowsupdate.exe,Windows,N/A,N/A,N/A,18a2a62f446e7a592aa3d7754c783a0f52519f0c,TS,No,No,Yes,Yes,Yes,No,No,No,No
2016-03-22,34762aeb17a5ff843788606b66de4dc717a159c0229e9c2e6cfb48d7dcee1a09,chilex.ddns.net,101,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,d3ce236c6efa78a0049466b2506f62a54b26dae4,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-24,30be9eb4b01e285f64219211f685c191491646c04964039e37b06816d27bfbbe,yodaserver.no-ip.info,8456,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,85dca684b56bf6608d1e0a0ee6ac6ce2370d4788,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-02,2f4b05e5ebdeacdc477925463833889fd26e56482b507f735cb9a3317ef26b26,karamandos.no-ip.biz,4865,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,62004da4677d7cacccf9a19b10113ad6ce4226fd,BGSEX,No,Yes,Yes,No,No,No,No,No,No
2015-11-24,3341a85f8cb698e01dadc48eafeb4bdb329fc5599d3d2c51206491721e20f1fe,lucky12.duckdns.org,5050,Disabled,Disabled,Disabled,N/A,N/A,N/A,80ea253fab3494f7b85b73e81fec808beb5d2541,client,No,Yes,Yes,No,Yes,No,No,No,No
2015-10-16,3342bd69ef35257168ddbb0f770ccfc6aa7f0055036031afae077f74a3011893,ayrton.no-ip.org,6300,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,3b5c4e793f3013a4fb5f8ac9d413c0d0536fa9b9,STEAM,No,Yes,Yes,Yes,Yes,No,No,No,No
